"Team","Position","Name","Games played","Goals scored","Interceptions","Recoveries","Passes"
"FC Barcelona","Goalkeeper","Ter Stegen","37","0","1","241","992"
"Athletic Club","Defender","Yuri B.","31","1","50","277","1285"
"FC Barcelona","Defender","Piqué","35","7","44","277","2398"
"Real Sociedad","Goalkeeper","Andoni Zubiaurre","0","0","0","0","0"
"Real Sociedad","Goalkeeper","Gero Rulli","27","0","1","229","983"
"Real Sociedad","Goalkeeper","Moyà","11","0","1","84","326"
"Real Sociedad","Defender","Zaldúa","26","1","38","90","899"
"Real Sociedad","Defender","Llorente R.","21","0","26","95","1.098"
"Real Sociedad","Defender","H.Moreno","25","1","31","95","1.192"
"Real Sociedad","Defender","Aritz","27","1","39","137","1.108"
"Real Sociedad","Defender","Gorosabel","7","0","4","23","210"
"Real Sociedad","Defender","Theo","24","1","33","126","909"
"Real Sociedad","Defender","Rodrigues","7","0","8","31","181"
"Real Sociedad","Defender","Raúl Navas","16","0","20","97","864"
"Real Sociedad","Defender","Robin Le Normand","4","0","4","18","220"
"Real Sociedad","Defender","Aihen Muñoz","11","0","7","42","399"
"Real Sociedad","Defender","Alex Sola","1","0","1","12","52"
"Real Sociedad","Midfielder","Ander Guevara","1","2","1","5","42"
"Real Sociedad","Midfielder","Illarramendi","23","2","31","182","1.238"
"Real Sociedad","Midfielder","Zubeldia","33","0","45","200","1.2"
"Real Sociedad","Midfielder","Merino","29","3","29","156","1.089"
"Real Sociedad","Midfielder","R. Pardo","24","0","22","86","805"
"Real Sociedad","Midfielder","Merquelanz","1","2","0","1","0"
"Real Sociedad","Midfielder","Zurutuza","21","1","24","88","603"
"Real Sociedad","Midfielder","Sangalli ","18","2","5","65","361"
"Real Sociedad","Midfielder","Roberto López","1","2","1","0","3"
"Real Sociedad","Midfielder","Näis Djouahra","0","0","0","0","0"
"Real Sociedad","Midfielder","Ander Barrenetxea","9","1","4","18","105"
"Real Sociedad","Midfielder","Martín Zubimendi","1","1","0","1","4"
"Real Sociedad","Midfielder","Zourdine Thior","0","1","0","0","0"
"Real Sociedad","Forward","Juanmi","30","5","17","62","359"
"Real Sociedad","Forward","Oyarzabal","37","13","14","137","924"
"Real Sociedad","Forward","Januzaj","20","0","6","59","431"
"Real Sociedad","Forward","Willian J.","31","11","1","62","755"
"Real Sociedad","Forward","Bautista","18","2","5","14","136"
"Real Sociedad","Forward","Sandro","24","2","9","68","342"
"SD Eibar","Goalkeeper","Dmitrović","24","0","2","248","692"
"SD Eibar","Goalkeeper","Riesgo","14","0","0","136","347"
"SD Eibar","Defender","J. Calavera","1","0","0","0","0"
"SD Eibar","Defender","Bigas","10","0","8","29","296"
"SD Eibar","Defender","N. E. Ramis ","21","0","20","117","809"
"SD Eibar","Defender","Paulo","28","0","36","123","1.01"
"SD Eibar","Defender","Cote","35","1","41","234","1.488"
"SD Eibar","Defender","Cucurella","31","1","20","146","848"
"SD Eibar","Defender","Arbilla","25","1","46","151","1.116"
"SD Eibar","Midfielder","Escalante","32","4","21","106","756"
"SD Eibar","Midfielder","Sergio A.","19","0","17","76","498"
"SD Eibar","Midfielder","P. Diop","28","1","37","170","1.129"
"SD Eibar","Midfielder","R. Peña","31","1","36","214","1.349"
"SD Eibar","Midfielder","Orellana","33","3","19","190","1.164"
"SD Eibar","Midfielder","De Blasis","24","1","13","99","641"
"SD Eibar","Midfielder","P. León","9","1","4","22","122"
"SD Eibar","Midfielder","Pere Milla","5","1","2","21","114"
"SD Eibar","Midfielder","Jordán","36","4","33","249","1.684"
"SD Eibar","Midfielder","Miguel Marí","2","1","1","5","40"
"SD Eibar","Forward","Marc","17","3","1","33","165"
"SD Eibar","Forward","Sergi Enrich","35","7","6","94","925"
"SD Eibar","Forward","Kike G.","30","3","4","48","394"
"SD Eibar","Forward","Charles L.","34","14","4","54","545"
"SD Huesca","Goalkeeper","Javi Varas","0","0","0","0","0"
"SD Huesca","Goalkeeper","Santamaría","20","0","1","152","546"
"SD Huesca","Goalkeeper","Jovanović","12","0","1","68","309"
"SD Huesca","Defender","Mantovani","9","2","22","23","226"
"SD Huesca","Defender","Etxeita","31","4","39","114","882"
"SD Huesca","Defender","Diéguez","9","0","12","35","204"
"SD Huesca","Defender","J. Pulido","32","3","50","134","921"
"SD Huesca","Defender","Akapo","13","0","22","54","348"
"SD Huesca","Defender","Luisinho","7","0","16","27","195"
"SD Huesca","Defender","Insua","10","0","12","32","246"
"SD Huesca","Defender","Miramón","30","1","44","223","983"
"SD Huesca","Midfielder","Aguilera","6","0","4","27","184"
"SD Huesca","Midfielder","Moi Gómez","36","1","28","252","1.42"
"SD Huesca","Midfielder","Ferreiro","35","1","24","145","739"
"SD Huesca","Midfielder","Melero","22","2","2","96","716"
"SD Huesca","Midfielder","Camacho","3","2","0","4","22"
"SD Huesca","Midfielder","Álex Gallar","25","4","9","74","407"
"SD Huesca","Midfielder","Javi Galán","16","1","19","95","396"
"SD Huesca","Midfielder","Rivera","22","1","32","136","682"
"SD Huesca","Midfielder","Juanpi","14","0","5","42","217"
"SD Huesca","Midfielder","Herrera","16","2","14","85","433"
"SD Huesca","Midfielder","Musto","24","2","35","97","775"
"SD Huesca","Forward","Cucho Hernández","34","4","9","86","544"
"SD Huesca","Forward","Chimy Ávila","34","10","13","75","523"
"SD Huesca","Forward","Enric Gallego","19","5","8","45","374"
"Sevilla FC","Goalkeeper","Tomáš Vaclík","33","0","0","284","813"
"Sevilla FC","Goalkeeper","Juan Soriano","4","0","1","44","119"
"Sevilla FC","Goalkeeper","Javier Díaz","1","0","0","7","21"
"Sevilla FC","Defender","Sergi Gómez","32","0","41","124","1.457"
"Sevilla FC","Defender","Kjaer","26","0","27","108","907"
"Sevilla FC","Defender","Carriço","24","1","31","118","1.001"
"Sevilla FC","Defender","Maximilian Wöber","7","0","7","35","260"
"Sevilla FC","Defender","Escudero","21","0","25","98","744"
"Sevilla FC","Defender","Arana","9","0","9","35","220"
"Sevilla FC","Defender","Gnagnon","7","0","11","30","258"
